Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1.0,2.0,365,121.0,509.4304235090752,94.07480119284294,0.0,1.0,29,92.0,"Internet, Wifi, Air conditioning, Free parking on premises, Smoking allowed, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff",52004703,Mehmet Emin,"Fatih , İstanbul, Turkey",Turkey,TR,Point,28.98009,41.0062,False
City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1.0,1.0,220,181.0,0.0,50.0,100.0,1.0,81,92.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, First aid kit, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Microwave, Refrigerator, Dishes and silverware, Stove, Long term stays allowed, Host greets you",51744313,Yi,"Hong Kong , 九龍, Hong Kong",Hong Kong,HK,Point,114.1669,22.3314,True
New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,1.0,93,135.0,0.0,135.0,0.0,1.0,70,94.0,"Internet, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, translation missing: en.hosting_amenity_50",454250,Greta,"New York, NY, United States",United States,US,Point,-73.96523,40.79962,False
Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,359,40.0,0.0,50.0,25.0,2.0,0,95.0,"TV, Cable TV, Wifi, Family/kid friendly, Smoke detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Hot water, Long term stays allowed, Other",2649859,Elisabete,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60867,41.1543,False
Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,0,145.0,509.4304235090752,60.0,0.0,1.0,1,100.0,"TV, Internet, Wifi, Kitchen, Heating, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials",34607505,Scott,"New York, NY, United States",United States,US,Point,-74.00074,40.74577,True
Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1.0,0,40.0,509.4304235090752,94.07480119284294,0.0,1.0,1,100.0,"Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Lock on bedroom door",11275734,Josh,"Brooklyn, NY, United States",United States,US,Point,-73.93615,40.69791,True
Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0.0,1.0,0,181.0,300.0,50.0,0.0,1.0,64,95.0,"TV, Wifi, Kitchen, Elevator, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Ethernet connection, Other",13764143,Ben,"Surry Hills, NSW, Australia",Australia,AU,Point,151.21554,-33.88029,True
Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,3.0,118,119.0,600.0,150.0,40.0,3.0,70,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Oven, Stove, Long term stays allowed, Wide hallway clearance, Host greets you",51530266,Ana Valéria,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.190849194463404,-22.984339360067814,False
Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1.0,2.0,0,317.0,509.4304235090752,187.0,0.0,1.0,0,95.0,"Wifi, Wheelchair accessible, Kitchen, Free parking on premises, Smoking allowed, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace",1282196,Ynaie,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.23074991429229,-22.966253551739655,True
Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,32,43.0,509.4304235090752,94.07480119284294,12.0,1.0,0,95.0,"TV, Internet, Wifi, Kitchen, Free parking on premises, Heating, Washer, Smoke detector, Essentials, Shampoo, Laptop friendly workspace, Hot water, Bed linens",7140229,Caro,"Montréal, Québec, Canada",Canada,CA,Point,-73.54949,45.54548,False
